atis_id,gtfs_id,gtfs_short_name,gtfs_long_name
1,MTASBWY:1,1,Broadway - 7 Avenue Local
2,MTASBWY:2,2,7 Avenue Express
3,MTASBWY:3,3,7 Avenue Express
4,MTASBWY:4,4,Lexington Avenue Express
5,MTASBWY:5,5,Lexington Avenue Express
6,MTASBWY:6X,6X,Lexington Avenue Express
6,MTASBWY:6,6,Lexington Avenue Local
7,MTASBWY:7X,7X,Flushing Express
7,MTASBWY:7,7,Flushing Local
A,MTASBWY:A,A,8 Avenue Express
B,MTASBWY:B,B,6 Avenue Express
C,MTASBWY:C,C,8 Avenue Local
D,MTASBWY:D,D,6 Avenue Express
E,MTASBWY:E,E,8 Avenue Local
F,MTASBWY:F,F,Queens Blvd Express/ 6 Av Local
FS,MTASBWY:FS,S,Franklin Avenue Shuttle
G,MTASBWY:G,G,Brooklyn-Queens Crosstown
GS,MTASBWY:GS,S,42 St Shuttle
H,MTASBWY:H,S,Rockaway Park Shuttle
J,MTASBWY:J,J,Nassau St Local
L,MTASBWY:L,L,14 St-Canarsie Local
M,MTASBWY:M,M,QNS BLVD-6th AVE/ Myrtle Local
N,MTASBWY:N,N,Broadway Local
Q,MTASBWY:Q,Q,Broadway Express
R,MTASBWY:R,R,Broadway Local
SIR,MTASBWY:SI,SIR,Staten Island Railway
W,MTASBWY:W,W,Broadway Local
Z,MTASBWY:Z,Z,Nassau St Express
BABYLON,LI:1,,Babylon
BELMONT,LI:11,,Belmont
FARROCK,LI:7,,Far Rockaway
HEMPST,LI:2,,Hempstead
LONGBCH,LI:6,,Long Beach
MONTAUK,LI:5,,Montauk
OYSTERB,LI:3,,Oyster Bay
PTJEFF,LI:10,,Port Jefferson
PTWASH,LI:9,,Port Washington
RONKO,LI:4,,Ronkonkoma
WHEMPST,LI:8,,West Hempstead
DANBURY,MNR:5,,Danbury
HARLEM,MNR:2,,Harlem
HUDSON,MNR:1,,Hudson
NCANAAN,MNR:4,,New Canaan
NHAVEN,MNR:3,,New Haven
WTRBURY,MNR:6,,Waterbury
JBNTNM,NJT:2,,Montclair-Boonton Line
JMNBN,NJT:5,,Main/Bergen County Line
JMNBNP,NJT:6,,Port Jervis Line
JMNEG,NJT:7,,Morris & Essex Line
JNEC,NJT:9,,Northeast Corridor
JNJCL,NJT:10,,North Jersey Coast Line
JNJCL,NJT:11,,North Jersey Coast Line
JPASC,NJT:13,,Pascack Valley Line
JRARV,NJT:15,,Raritan Valley Line
B100,MTA:B100,B100,Mill Basin - Midwood
B103-LTD,MTA:B103,B103,Canarsie - Downtown Brooklyn Ltd
BM1,MTA:BM1,BM1,Mill Basin - Downtown/Midtown
BM2,MTA:BM2,BM2,Canarsie/Spring Creek - Downtown/Midtown
BM3,MTA:BM3,BM3,Sheepshead Bay - Downtown/Midtown
BM4,MTA:BM4,BM4,Gerritsen Beach - Downtown/Midtown
BM5,MTA:BM5,BM5,Spring Creek - Midtown
Q10,MTA:Q10,Q10,Kew Gardens - Jfk Airport
Q10-LTD,MTA:Q10,Q10,Kew Gardens - Jfk Airport
Q100-LTD,MTA:Q100,Q100,Rikers Island - Long Island City
Q101,MTA:Q101,Q101,Steinway Street
Q102,MTA:Q102,Q102,31 St - Roosevelt Island
Q103,MTA:Q103,Q103,27 Ave - Borden Ave
Q104,MTA:Q104,Q104,Broadway - 48 Street
Q11,MTA:Q11,Q11,Woodhaven Blvd
Q110,MTA:Q110,Q110,Jamaica Ave - Hempstead Ave
Q111,MTA:Q111,Q111,Guy Brewer Blvd - 147Th Ave
Q112,MTA:Q112,Q112,Liberty Ave
Q113-LTD,MTA:Q113,Q113,Guy Brewer Blvd - Nassau Expwy Ltd
Q114-LTD,MTA:Q114,Q114,Guy Brewer Blvd Ltd - Rockaway Tpk
Q18,MTA:Q18,Q18,30 Ave - 58 St - 65 Pl
Q19,MTA:Q19,Q19,Astoria Blvd
Q21,MTA:Q21,Q21,Cross Bay - Woodhaven Blvds
Q22,MTA:Q22,Q22,Rockaway Beach Blvd - Beach Channel Dr
Q23,MTA:Q23,Q23,108 Street
Q25,MTA:Q25,Q25,127 Street - Kissena Bl - Parsons Bl
Q25-LTD,MTA:Q25,Q25,127 Street - Kissena Bl - Parsons Bl
Q29,MTA:Q29,Q29,Dry Harbor Road - 80 Street
Q33,MTA:Q33,Q33,82 St/83 St - 95 St & Ditmars Blvd
Q34,MTA:Q34,Q34,Willets Pt Bl - Kissena Bl - Parsons Bl
Q35,MTA:Q35,Q35,Rockaway Park - Brooklyn College
Q37,MTA:Q37,Q37,111Th Street
Q38,MTA:Q38,Q38,Eliot Ave - Penelope Ave
Q39,MTA:Q39,Q39,48 Ave - 58 St - Forest Ave
Q40,MTA:Q40,Q40,142Nd Street
Q41,MTA:Q41,Q41,127Th Street - 109Th Avenue
Q47,MTA:Q47,Q47,Atlas Mall - Laguardia Main Term
Q49,MTA:Q49,Q49,35 Ave
Q50-LTD,MTA:Q50,Q50,Co-Op City/Pelham Bay - Flushing
Q52-LTD,MTA:Q52,Q52,Elmhurst - Arverne Limited
Q53-LTD,MTA:Q53,Q53,Woodside - Rockaway Pk Limited
Q6,MTA:Q06,Q6,Sutphin Boulevard
Q6-LTD,MTA:Q06,Q6,Sutphin Boulevard
Q60,MTA:Q60,Q60,Queens Boulevard
Q64,MTA:Q64,Q64,Jewel Ave
Q65,MTA:Q65,Q65,College Point Bl - 164 St
Q65-LTD,MTA:Q65,Q65,College Point Bl - 164 St
Q66,MTA:Q66,Q66,Northern Blvd/Queens Plaza S
Q67,MTA:Q67,Q67,Borden Ave - 69 Street
Q69,MTA:Q69,Q69,21 St - Ditmars Blvd
Q7,MTA:Q07,Q7,Rockaway Boulevard
Q72,MTA:Q72,Q72,Junction Blvd - Laguardia Main Term
Q8,MTA:Q08,Q8,101St Avenue
Q9,MTA:Q09,Q9,Lincoln Street
QM1,MTA:QM1,QM1,Fresh Meadows - Midtown Via 6 Av
QM10,MTA:QM10,QM10,Lefrak City - Midtown Via 6 Av
QM11,MTA:QM11,QM11,Forest Hills - Downtown
QM12,MTA:QM12,QM12,Forest Hills - Midtown Via 6 Av
QM15,MTA:QM15,QM15,Lindenwood - Midtown Express
QM16,MTA:QM16,QM16,Neponsit - Midtown Express
QM17,MTA:QM17,QM17,Far Rockaway - Midtown Express
QM18,MTA:QM18,QM18,South Ozone Park - Midtown Express
QM2,MTA:QM2,QM2,Bay Terrace - Midtown Via 6 Av
QM20,MTA:QM20,QM20,Bay Terrace - Midtown
QM21,MTA:QM21,QM21,Rochdale Village - Midtown
QM24,MTA:QM24,QM24,Glendale - Midtown Via 6 Av
QM25,MTA:QM25,QM25,Glendale - Downtown
QM3,MTA:QM3,QM3,Little Neck - Midtown
QM31,MTA:QM31,QM31,Fresh Meadows - Midtown Via 3 Av
QM32,MTA:QM32,QM32,Bay Terrace - Midtown Via 3 Av
QM34,MTA:QM34,QM34,Glendale - Midtown Via 3 Av
QM35,MTA:QM35,QM35,Glen Oaks - Midtown Via 3 Av
QM36,MTA:QM36,QM36,Lake Success - Midtown Via 3 Av
QM4,MTA:QM4,QM4,Electchester - Midtown Via 6Th Ave
QM40,MTA:QM40,QM40,Lefrak City - Midtown Via 3 Av
QM42,MTA:QM42,QM42,Forest Hills - Midtown Via 3 Av
QM44,MTA:QM44,QM44,Electchester - Midtown Via 3Rd Ave
QM5,MTA:QM5,QM5,Glen Oaks - Midtown Via 6 Av
QM6,MTA:QM6,QM6,Lake Success - Midtown Via 6 Av
QM7,MTA:QM7,QM7,Fresh Meadows - Downtown
QM8,MTA:QM8,QM8,Glen Oaks - Downtown
B1,MTA:B1,B1,Bay Ridge - Manhattan Beach
B11,MTA:B11,B11,Sunset Park - Midwood
B12,MTA:B12,B12,Lefferts Gardens - East New York
B13,MTA:B13,B13,Spring Creek - Wyckoff Hospital
B14,MTA:B14,B14,Spring Creek - Crown Heights
B15,MTA:B15,B15,Bedford Stuyvesant - JFK Airport
B16,MTA:B16,B16,Bay Ridge - Lefferts Gardens
B17,MTA:B17,B17,Canarsie - Crown Heights
B2,MTA:B2,B2,Kings Hwy Station - Kings Plaza
B20,MTA:B20,B20,Ridgewood - Spring Creek
B24,MTA:B24,B24,Williamsburg - Greenpoint
B25,MTA:B25,B25,Dwntn Bklyn & DUMBO - Broadway Junction
B26,MTA:B26,B26,Downtown Brooklyn - Ridgewood
B3,MTA:B3,B3,Bensonhurst - Bergen Beach
B31,MTA:B31,B31,Gerritsen Beach - Kings Hwy Station
B32,MTA:B32,B32,Williamsburg - Long Island City
B35,MTA:B35,B35,Brownsville - Sunset Park
B35-LTD,MTA:B35,B35,Brownsville - Sunset Park
B36,MTA:B36,B36,Sheepshead Bay - Coney Island
B37,MTA:B37,B37,Downtown Brooklyn - Bay Ridge
B38,MTA:B38,B38,Ridgewood - Downtown Brooklyn
B38-LTD,MTA:B38,B38,Ridgewood - Downtown Brooklyn
B39,MTA:B39,B39,Williamsburg Bridge Plaza - Lower East Side
B4,MTA:B4,B4,Bay Ridge - Sheepshead Bay
B41,MTA:B41,B41,Kings Plaza - Downtown Brooklyn
B41-LTD,MTA:B41,B41,Kings Plaza - Downtown Brooklyn
B42,MTA:B42,B42,Canarsie Pier - Rockaway Parkway Station
B43,MTA:B43,B43,Greenpoint - Lefferts Gardens
B44,MTA:B44,B44,Sheepshead Bay - Williamsburg
B44+,MTA:B44+,B44-SBS,Sheepshead Bay - Williamsburg
B45,MTA:B45,B45,Downtown Brooklyn - Crown Heights
B46,MTA:B46,B46,Kings Plaza - Williamsburg
B46+,MTA:B46+,B46-SBS,Kings Plaza - Williamsburg
B47,MTA:B47,B47,Kings Plaza - Bedford-Stuyvesant
B48,MTA:B48,B48,Lefferts Gardens - Greenpoint
B49,MTA:B49,B49,Manhattan Beach - Bedford-Stuyvesant
B49-LTD,MTA:B49,B49,Manhattan Beach - Bedford-Stuyvesant
B52,MTA:B52,B52,Downtown Brooklyn - Ridgewood
B54,MTA:B54,B54,Downtown Brooklyn - Ridgewood
B57,MTA:B57,B57,Gowanus - Maspeth
B6,MTA:B6,B6,Bath Beach - East New York
B6-LTD,MTA:B6,B6,Bath Beach - East New York
B60,MTA:B60,B60,Williamsburg - Canarsie
B61,MTA:B61,B61,Park Slope - Downtown Brooklyn
B62,MTA:B62,B62,Downtown Brooklyn - Long Island City
B63,MTA:B63,B63,Bay Ridge - Cobble Hill
B64,MTA:B64,B64,Bay Ridge - Coney Island
B65,MTA:B65,B65,Downtown Brooklyn - Crown Heights
B67,MTA:B67,B67,Brooklyn Navy Yard - Kensington
B68,MTA:B68,B68,Coney Island - Windsor Terrace
B69,MTA:B69,B69,Downtown Brooklyn - Kensington
B7,MTA:B7,B7,Midwood - Bedford-Stuyvesant
B70,MTA:B70,B70,Dyker Heights - Sunset Park
B74,MTA:B74,B74,Sea Gate - Stillwell Av
B8,MTA:B8,B8,Dyker Heights - East Flatbush
B82,MTA:B82,B82,Coney Island - Spring Creek Towers
B82-LTD,MTA:B82,B82,Coney Island - Spring Creek Towers
B83,MTA:B83,B83,Spring Creek - Broadway Junction
B84,MTA:B84,B84,Spring Creek-New Lots
B9,MTA:B9,B9,Bay Ridge - Kings Plaza
BX1,MTA:BX1,Bx1,Riverdale - Mott Haven
BX1-LTD,MTA:BX1,Bx1,Riverdale - Mott Haven
BX10,MTA:BX10,Bx10,Riverdale - Norwood
BX11,MTA:BX11,Bx11,West Farms Rd - Southern Blvd & GW Bridge
BX12,MTA:BX12,Bx12,Pelham Pkwy - Fordham Rd
BX12+,MTA:BX12+,Bx12-SBS,Pelham Pkwy - Fordham Rd
BX12-LTD,MTA:BX12,Bx12,Pelham Pkwy - Fordham Rd
