Station ID,GTFS Stop ID,Line,Stop Name,Daytime Routes,Railroad north descriptor,Railroad south descriptor,Notes
1,R01,Astoria,Astoria - Ditmars Blvd,N W,n/a,Manhattan,
2,R03,Astoria,Astoria Blvd,N W,Ditmars Blvd,Manhattan,
3,R04,Astoria,30 Av,N W,Astoria - Ditmars Blvd,Manhattan,
4,R05,Astoria,Broadway,N W,Astoria - Ditmars Blvd,Manhattan,
5,R06,Astoria,36 Av,N W,Astoria - Ditmars Blvd,Manhattan,
6,R08,Astoria,39 Av,N W,Astoria - Ditmars Blvd,Manhattan,
7,R11,Astoria,Lexington Av/59 St,N W R,Queens,Downtown & Brooklyn,
8,R13,Astoria,5 Av/59 St,N W R,Queens,Downtown & Brooklyn,
9,R14,Broadway - Brighton,57 St - 7 Av,N Q R W,Uptown & Queens,Downtown & Brooklyn,
10,R15,Broadway - Brighton,49 St,N R W,Uptown & Queens,Downtown & Brooklyn,
11,R16,Broadway - Brighton,Times Sq - 42 St,N Q R W,Uptown & Queens,Downtown & Brooklyn,
12,R17,Broadway - Brighton,34 St - Herald Sq,N Q R W,Uptown & Queens,Downtown & Brooklyn,
13,R18,Broadway - Brighton,28 St,R W,Uptown & Queens,Downtown & Brooklyn,
14,R19,Broadway - Brighton,23 St,R W,Uptown & Queens,Downtown & Brooklyn,
15,R20,Broadway - Brighton,14 St - Union Sq,N Q R W,Uptown & Queens,Downtown & Brooklyn,
16,R21,Broadway - Brighton,8 St - NYU,R W,Uptown & Queens,Downtown & Brooklyn,
17,R22,Broadway - Brighton,Prince St,R W,Uptown & Queens,Downtown & Brooklyn,
18,R23,Broadway,Canal St,R W,Uptown & Queens,Downtown & Brooklyn,
19,Q01,Manhattan Bridge,Canal St,N Q,Uptown & Queens,Downtown & Brooklyn,
20,R24,Broadway,City Hall,R W,Uptown & Queens,Downtown & Brooklyn,
21,R25,Broadway,Cortlandt St,R W,Uptown & Queens,Downtown & Brooklyn,
22,R26,Broadway,Rector St,R W,Uptown & Queens,Downtown & Brooklyn,
23,R27,Broadway,Whitehall St,R W,Uptown & Queens,Brooklyn,
24,R28,Broadway,Court St,R,Manhattan,Bay Ridge - 95 St,
25,R29,Broadway,Jay St - MetroTech,R,Manhattan,Bay Ridge - 95 St,
26,R30,Broadway - Brighton,DeKalb Av,B Q R,Manhattan,Coney Island - Bay Ridge,
27,R31,4th Av,Atlantic Av - Barclays Ctr,D N R,Manhattan,Coney Island - Bay Ridge,
28,R32,4th Av,Union St,R,Manhattan,Bay Ridge - 95 St,
